DATE,CAMP_DAY,PRODUCTION ACTUAL,GRADE_A,GRADE_B,DRI_FINES,DRI_DUST,PRODUCTION PLAN,PROD_LOSS,PELLETS_CONSUMPTION,IRON ORE CONSUMPTION,TOTAL_IRON_ORE_PELLETS,HG_COAL_CONSUMPTION,SA_COAL_CONSUMPTION,ESSAR_FINES,NCL_FINES,WASH_COAL,COAL_LOSSES_BYPRODUCTS,GROSS COAL CONSUMPTION,COAL_PER_TDRI,DOLO_CONSUMPTION,CHAR_GENERATION,PLUS_6_CHAR,MINUS_6_CHAR,MAG_CHAR,MIX_CHAR,POWER,KILN_AVAILABILITY,TOTAL_STEAM_FLOW,AVERAGE_STEAM,FEED_LOSS_TOTAL,FEED_LOSS_REASON,SLINGER_LOSS,SLINGER_LOSS_REASON,REMARKS
2024-06-01,1,1462.880899359464,1036.7405722371022,170.65241044692817,178.84154167280354,76.6463750026303,2000,26.85595503202679,392.089541879428,626.3226734013818,1018.4122152808096,631.77950199862,259.896308114686,48.349100393863,40.89039317612293,154.1091632307993,91.07605594564068,1135.0244669140914,0.7758830314970085,87.96404469209301,535.4605257814635,332.1781478595332,124.07257470305105,33.840674227316235,45.36912899156306,873.2797778224065,95.5771433520955,21.59700989272596,0.8998754121969149,13,Normal operation,11,Normal operation,Normal operation
2024-06-02,2,1552.1956895775031,1154.1248643533395,165.9354891421975,162.49473525737628,69.64060082458991,2000,22.390215521124837,446.1457276036809,712.6718644417973,1158.8175920454782,718.8810093051205,295.7274170831964,55.01484296369392,46.52782659827205,175.3557221404859,75.00955210645368,1291.5068180907688,0.8320515427035542,100.09137844891757,573.6660848405988,384.6813990425859,130.82187922189698,31.892216795710368,26.270589780405544,941.757640856996,95.22043380899524,22.08394032323714,0.9201641801348808,38,Normal operation,69,Mechanical failure,Normal operation
2024-06-03,3,1520.4769504199755,1082.3324431470442,168.77284590129725,188.56016296014383,80.81149841149045,2000,23.97615247900122,433.6586381610944,692.7250247347388,1126.3836628958331,698.7603830021739,287.4503576399122,53.4750427991886,45.225567949685626,170.44772358494953,112.73892176039256,1255.3590749759098,0.8256350578870422,97.28993955172908,610.192709707367,420.96735180290017,128.4479005502473,38.1226968718188,22.65476048240077,815.4190432507678,95.7404689278374,21.971333791284152,0.9154722413035064,104,Feeder malfunction,118,Alignment issues,Normal operation
2024-06-04,4,1571.0669287607386,1256.853543008591,164.10722579028126,78.55334643803694,71.5528135238294,2000,21.446653561963068,441.08904172286674,704.5943293863061,1145.6833711091729,710.7330988246961,292.37559600319577,54.39129607657268,46.000472890127945,173.36821279229497,85.05129477125199,1276.8686765868874,0.8127398350839735,98.95692701549834,629.6004354912126,428.26902057884513,153.1208415261109,57.00242791403255,-8.791854527775968,840.0208564391708,99.05385859970198,22.73088173913913,0.9471200724641304,27,Normal operation,48,Mechanical failure,Normal operation
2024-06-05,5,1474.207219924852,1124.880224864561,163.5325147157006,130.05613624121352,55.73834410337713,2000,26.289639003757397,416.2716314132442,664.9510716306539,1081.222703043898,670.7444496728903,275.925391069085,51.3310270961146,43.41230473774787,163.6138329176401,73.9642857074146,1205.027005493478,0.8174067995372484,93.38921975364804,484.8624304858898,300.28159614831367,104.93058047186598,45.19773493781619,34.45251892789389,945.0333656072542,99.08293302798464,19.45631044789079,0.8106796019954495,164,Power interruption,86,Material overload,Normal operation
2024-06-06,6,1460.445907119799,1051.085213246104,184.16817839171804,157.63476083738385,67.55775464459293,2000,26.97770464401006,391.16124524256935,624.8398151019233,1016.0010603444924,630.2837243144453,259.28098726833446,48.23463085949178,40.79358259993853,153.74430009966218,62.75427323266446,1132.3372251418723,0.7753366417897652,87.75578428692958,502.14216210878016,337.8686164602502,108.30396265947344,40.32725931987056,15.642323669185942,876.7134589504217,99.85200305511114,19.66196657417135,0.8192486072571395,147,Feeder malfunction,32,Mechanical failure,Normal operation
2024-06-07,7,1445.8418263377837,1120.6175790588734,174.21229414972487,105.70836719042984,45.30358593875576,2000,27.707908683110816,406.1447039162017,648.7743476280531,1054.919051544255,654.4267861611581,269.21276349832505,50.08226174550382,42.35618361542653,159.6334861958494,98.2088556754516,1175.711481216263,0.8131674293821325,91.11727570057924,513.106529094377,311.4543193920789,119.66254046880076,34.12671617475159,47.86295305874575,847.0873467587539,99.62787582749542,21.13826273043176,0.8807609471013235,76,Raw material shortage,85,Power interruption,Normal operation
2024-06-08,8,1535.2157472233591,1108.031584250306,183.04958438046256,170.89420501481348,73.24037357777706,2000,23.23921263883204,415.9739594855738,664.4755713746628,1080.4495308602366,670.2648066267607,275.7280794176186,51.294320761519735,43.381261007018416,163.49683420486983,105.25214903007308,1204.165302017787,0.7843622658220382,93.32243800113388,502.62188963669047,330.1776096422966,110.7294913601264,46.08352048349828,15.631268150769188,845.581242390253,97.77206238833396,19.996886259355783,0.8332035941398243,148,Raw material shortage,59,Power interruption,Normal operation
2024-06-09,9,1473.085117637639,1178.4680941101112,180.09961611577236,73.65425588188195,40.86315152987368,2000,26.34574411811804,390.6769707157093,624.0662364064311,1014.7432071221403,629.5034058240725,258.959986200462,48.174914301878125,40.74307838165826,153.55395801160068,61.34168060534978,1130.9353427196716,0.767732515371096,87.6471388333432,510.6684266367696,338.72334707886665,110.69218827821624,46.43057247971609,14.82231879997056,912.6707206311098,97.36593092954664,20.891277194242484,0.8704698830934369,57,Normal operation,103,Alignment issues,Normal operation
2024-06-10,10,1451.5629578716037,1141.312461105065,176.54560922099296,93.59342128188196,40.11146626366372,2000,27.42185210641982,396.3443324020616,633.1192631857588,1029.4635955878205,638.6353069879929,262.71659335701435,48.87376446204396,41.33411849590213,155.781490944572,108.2021362317921,1147.3412742475252,0.7904178513413209,88.91859344617207,524.9856080265607,352.70349153809974,115.07628006397668,36.73988046216778,20.465955962316517,822.1357017636948,99.91968011390924,20.63985503296997,0.859993959707082,27,Normal operation,99,Power interruption,Normal operation
