DATE,HAS_ACCRETION,ACTIVE_ACCRETION_COUNT,ZONES_AFFECTED,MAX_SEVERITY
2024-06-01,False,0,,0.0
2024-06-02,False,0,,0.0
2024-06-03,False,0,,0.0
2024-06-04,False,0,,0.0
2024-06-05,False,0,,0.0
2024-06-06,False,0,,0.0
2024-06-07,False,0,,0.0
2024-06-08,False,0,,0.0
2024-06-09,False,0,,0.0
2024-06-10,False,0,,0.0
2024-06-11,False,0,,0.0
2024-06-12,False,0,,0.0
2024-06-13,False,0,,0.0
2024-06-14,False,0,,0.0
2024-06-15,False,0,,0.0
2024-06-16,False,0,,0.0
2024-06-17,False,0,,0.0
2024-06-18,False,0,,0.0
2024-06-19,False,0,,0.0
2024-06-20,False,0,,0.0
2024-06-21,False,0,,0.0
2024-06-22,False,0,,0.0
2024-06-23,False,0,,0.0
2024-06-24,False,0,,0.0
2024-06-25,False,0,,0.0
2024-06-26,False,0,,0.0
2024-06-27,False,0,,0.0
2024-06-28,False,0,,0.0
2024-06-29,False,0,,0.0
2024-06-30,False,0,,0.0
2024-07-01,False,0,,0.0
2024-07-02,False,0,,0.0
2024-07-03,False,0,,0.0
2024-07-04,False,0,,0.0
2024-07-05,False,0,,0.0
2024-07-06,False,0,,0.0
2024-07-07,False,0,,0.0
2024-07-08,False,0,,0.0
2024-07-09,False,0,,0.0
2024-07-10,False,0,,0.0
2024-07-11,False,0,,0.0
2024-07-12,False,0,,0.0
2024-07-13,False,0,,0.0
2024-07-14,False,0,,0.0
2024-07-15,False,0,,0.0
2024-07-16,False,0,,0.0
2024-07-17,False,0,,0.0
2024-07-18,False,0,,0.0
2024-07-19,False,0,,0.0
2024-07-20,False,0,,0.0
2024-07-21,False,0,,0.0
2024-07-22,False,0,,0.0
2024-07-23,False,0,,0.0
2024-07-24,False,0,,0.0
2024-07-25,False,0,,0.0
2024-07-26,False,0,,0.0
2024-07-27,False,0,,0.0
2024-07-28,False,0,,0.0
2024-07-29,False,0,,0.0
2024-07-30,False,0,,0.0
2024-07-31,False,0,,0.0
2024-08-01,False,0,,0.0
2024-08-02,False,0,,0.0
2024-08-03,False,0,,0.0
2024-08-04,False,0,,0.0
2024-08-05,False,0,,0.0
2024-08-06,False,0,,0.0
2024-08-07,False,0,,0.0
2024-08-08,False,0,,0.0
2024-08-09,False,0,,0.0
2024-08-10,False,0,,0.0
2024-08-11,False,0,,0.0
2024-08-12,False,0,,0.0
2024-08-13,True,1,3,0.0
2024-08-14,True,1,3,0.0033126932999996885
2024-08-15,True,1,3,0.009369711585684087
2024-08-16,True,1,3,0.01721325931647741
2024-08-17,True,1,3,0.026501546399997508
2024-08-18,True,1,3,0.037037037037037035
2024-08-19,True,1,3,0.04868644955601476
2024-08-20,True,1,3,0.06135193849140343
2024-08-21,True,1,3,0.0749576926854727
2024-08-22,True,1,3,0.0894427190999916
2024-08-23,True,1,3,0.10475656017578482
2024-08-24,True,1,3,0.12085656793785524
2024-08-25,True,1,3,0.13770607453181927
2024-08-26,True,1,3,0.15527311218945353
2024-08-27,True,1,3,0.1735294869848453
2024-08-28,True,1,3,0.19245008972987523
2024-08-29,True,1,3,0.21201237119998007
2024-08-30,True,1,3,0.232195934479969
2024-08-31,True,1,3,0.2529822128134704
2024-09-01,True,1,3,0.27435421118721526
2024-09-02,True,1,3,0.2962962962962963
2024-09-03,True,1,3,0.31879402382985417
2024-09-04,True,1,3,0.3418339949591605
